Country,Urbanization rate,ISO-code
Afghanistan,26,AFG
Albania,62.1,ALB
Algeria,73.7,DZA
Australia,86.2,AUS
Austria,58.7,AUT
Azerbaijan,56.4,AZE
Bahrain,89.5,BHR
Bangladesh,38.2,BGD
Belarus,79.5,BLR
Belgium,98.1,BEL
Bolivia,70.1,BOL
Brazil,87.1,BRA
Bulgaria,75.7,BGR
Cambodia,24.2,KHM
Canada,81.6,CAN
Chile,87.7,CHL
China,61.4,CHN
Colombia,81.4,COL
Costa Rica,80.8,CRI
Croatia,57.6,HRV
Cyprus,66.8,CYP
Denmark,88.1,DNK
Dominican Republic,82.5,DOM
Ecuador,64.2,ECU
El Salvador,73.4,SLV
Estonia,69.2,EST
Ethiopia,21.7,ETH
France,81,FRA
Georgia,59.5,GEO
Germany,77.5,DEU
Ghana,57.3,GHA
Greece,79.7,GRC
Guatemala,51.8,GTM
Honduras,58.4,HND
Hungary,71.9,HUN
Iceland,93.9,ISL
India,34.9,IND
Indonesia,56.6,IDN
Iran,75.9,IRN
Iraq,70.9,IRQ
Ireland,63.7,IRL
Israel,92.6,ISR
Italy,71,ITA
Jamaica,56.3,JAM
Japan,91.8,JPN
Jordan,91.4,JOR
Kazakhstan,57.7,KAZ
Kenya,28,KEN
Latvia,68.3,LVA
Lebanon,88.9,LBN
Lithuania,68,LTU
Luxembourg,91.5,LUX
Malaysia,77.2,MYS
Malta,94.7,MLT
Mauritius,40.8,MUS
Mexico,80.7,MEX
Moldova,42.8,MDA
Morocco,63.5,MAR
Nepal,20.6,NPL
Netherlands,92.2,NLD
New Zealand,86.7,NZL
Nicaragua,59,NIC
Nigeria,52,NGA
Norway,83,NOR
Pakistan,37.2,PAK
Panama,68.4,PAN
Paraguay,62.2,PRY
Peru,78.3,PER
Philippines,47.4,PHL
Poland,60,POL
Portugal,66.3,PRT
Qatar,99.2,QAT
Romania,56.4,ROU
Russia,74.8,RUS
Saudi Arabia,84.3,SAU
Serbia,56.4,SRB
Singapore,100,SGP
Slovenia,55.1,SVN
South Africa,67.4,ZAF
Spain,80.8,ESP
Sri Lanka,18.7,LKA
Sweden,88,SWE
Switzerland,73.9,CHE
Syria,55.5,SYR
Tanzania,35.2,TZA
Thailand,51.4,THA
Trinidad and Tobago,53.2,TTO
Tunisia,69.6,TUN
Turkey,76.1,TUR
Uganda,25,UGA
Ukraine,69.6,UKR
United Kingdom,83.9,GBR
United States,82.7,USA
Uruguay,95.5,URY
Venezuela,88.3,VEN
Vietnam,37.3,VNM
Zimbabwe,32.2,ZWE
