Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical Cases,Total Tests,Population
Afghanistan,32672,348,826,7,19164,12682,29,75155,38927805
Albania,2752,,72,,1592,1088,8,24601,2877761
Algeria,15070,,937,,10832,3301,54,,43852424
Australia,8362,107,104,,7355,903,4,2667064,25501388
Austria,18165,115,705,,16607,853,8,642679,9006813
Azerbaijan,19267,,235,,10820,8212,66,502965,10139762
Bahrain,28410,,95,,23318,4997,48,584070,1701143
Bangladesh,156391,,1968,,68048,86375,1,820347,164699098
Belarus,62997,,412,,49909,12676,89,1043876,9449289
Belgium,61727,,9765,,17073,34889,35,1270677,11590064
Bolivia,36818,1290,1320,49,10766,24732,71,81786,11673664
Brazil,1543341,,63524,,978615,501472,8318,3330562,212570544
Bulgaria,5497,,239,,2892,2366,29,150062,6947685
Cambodia,141,,,,131,10,1,38335,16719876
Canada,105091,,8663,,68693,27735,2118,2885746,37744314
Chile,288089,,6051,,253343,28695,2099,1146593,19117287
China,83545,3,4634,,78509,402,5,90410000,1439323776
Colombia,109505,,3777,,45334,60394,335,818703,50885910
Costa Rica,4311,,18,,1657,2636,10,44917,5094413
Croatia,3008,,112,,2168,728,4,82902,4104916
Cyprus,999,,19,,839,141,,161800,1207423
Denmark,12832,,606,,11817,409,6,1106377,5792389
Dominican Republic,35148,,775,,18392,15981,193,160541,10848551
Ecuador,60657,,4700,,28391,27566,288,158730,17643922
El Salvador,7507,240,210,8,4434,2863,215,172455,6486480
Estonia,1991,,69,,1859,63,2,108538,1326544
Ethiopia,5846,,103,,2430,3313,35,250604,114958401
France,166960,,29893,,77060,60007,560,1384633,65274927
Georgia,946,3,15,,825,106,5,113167,3989076
Germany,197000,,9073,,181300,6627,318,5873563,83786438
Ghana,19388,,117,,14330,4941,6,300520,31073108
Greece,3486,,192,,1374,1920,8,325451,10422379
Guatemala,21293,,880,,3315,17098,5,64590,17916069
Honduras,22116,996,605,14,2250,19261,58,49308,9905059
Hungary,4174,2,588,,2752,834,8,281628,9660054
Iceland,1855,,10,,1832,13,,74424,341260
India,649889,,18669,,394411,236809,8944,9540132,1380085626
Indonesia,60695,,3036,,27568,30091,,871436,273539841
Iran,235429,,11260,,196446,27723,3123,1744958,83997756
Iraq,56020,,2262,,29600,24158,338,579861,40221975
Ireland,25498,,1740,,23364,394,12,445962,4938079
Israel,28055,,326,,17669,10060,77,1024298,9197590
Italy,241184,,34833,,191467,14884,79,5575815,60460794
Jamaica,721,6,10,,565,146,,25750,2961280
Japan,19068,,976,,16866,1226,33,481877,126471668
Jordan,1147,,10,,897,240,3,408735,10203736
Kazakhstan,45719,1644,188,,26750,18781,121,1590144,18777808
Kenya,7188,,154,,2148,4886,29,176059,53770877
Latvia,1123,1,30,,1000,93,1,156784,1885860
Lebanon,1830,,35,,1292,503,5,141479,6825046
Lithuania,1828,,79,,1539,210,15,436679,2721623
Luxembourg,4447,,110,,4016,321,3,207809,626005
Malaysia,8658,10,121,,8461,76,2,782638,32367850
Malta,672,,9,,650,13,,98139,441554
Mauritius,341,,10,,330,1,,186845,1271789
Mexico,245251,6740,29843,654,147205,68203,378,624987,128940399
Moldova,17445,,572,,10093,6780,438,101180,4033850
Morocco,13288,,230,,9160,3898,7,728366,36912729
Nepal,15529,,32,,6143,9084,,547876,29137741
Netherlands,50335,,6113,,,,28,616376,17135244
New Zealand,1530,,22,,1490,18,1,411932,5002100
Nicaragua,2519,,83,,1238,1198,,,6624943
Nigeria,27564,,628,,11069,15867,7,144833,206130241
Norway,8921,,251,,8138,532,3,348208,5421538
Pakistan,225283,3387,4619,68,125094,95570,2460,1372825,220896749
Panama,35995,,698,,16945,18352,146,138081,43149967
Paraguay,2349,,19,,1113,1217,4,74088,7132953
Peru,295599,,10226,,185852,99521,1210,1740969,32973640
Phillipines,40336,,1280,,11073,27983,166,779937,109587217
Poland,35405,,1507,,23127,10771,74,1597497,37846137
Portugal,43156,,1598,,28424,13134,72,1205593,10196343
Qatar,98653,,121,,88583,9949,185,372005,2807805
Romania,28166,,1708,,19545,6913,224,747592,19235880
Russia,674515,6632,10027,168,446879,217609,2300,20451110,145935130
Saudi Arabia,201801,,1802,,140614,59385,2291,1771628,34815518
Serbia,15504,,298,,13064,2142,85,426981,8736919
Singapore,44664,185,26,,39769,4869,1,705836,5850663
Slovenia,1650,,111,,1384,155,,105569,2078941
South Africa,177124,,2952,,86298,87874,539,1745153,59312107
Spain,297625,,28385,,150000,,617,5448984,46754972
Sri Lanka,2069,,11,,1863,195,1,110505,21414041
Sweden,71419,,5420,,,,124,519113,10099756
Switzerland,32101,,1965,,29200,936,15,614283,8655082
Syria,328,,10,,123,195,,,17499993
Tanzania,509,,21,,183,305,7,,59727695
Thailand,3185,5,58,,3066,61,1,603657,69801669
Trinidad and Tobago,130,,8,,115,7,,5338,1399530
Tunisia,1181,,50,,1045,86,,71198,11819320
Turkey,203456,,5186,,178278,19992,1082,3535818,84344072
Uganda,927,16,,,849,78,,200179,45733011
Ukraine,47677,914,1227,15,21115,25335,102,705836,437730137
United Kingdom,284276,,44131,,,,279,10120276,67888969
United States,2890588,,132101,,1235488,1522999,15928,36297195,331018157
Uruguay,952,,28,,837,87,1,69570,3473841
Venezuela,6537,,59,,2100,4378,11,1297586,28434951
Vietnam,355,,,,340,15,1,275000,97344194
Zimbabwe,625,,7,,176,442,,75485,14863695
