Country,Fertility,ISO-code
Afghanistan,4.5,AFG
Albania,1.6,ALB
Algeria,3,DZA
Australia,1.7,AUS
Austria,1.5,AUT
Azerbaijan,1.7,AZE
Bahrain,2,BHR
Bangladesh,2,BGD
Belarus,1.4,BLR
Belgium,1.6,BEL
Bolivia,2.7,BOL
Brazil,1.7,BRA
Bulgaria,1.6,BGR
Cambodia,2.5,KHM
Canada,1.5,CAN
Chile,1.6,CHL
China,1.7,CHN
Colombia,1.8,COL
Costa Rica,1.8,CRI
Croatia,1.5,HRV
Cyprus,1.3,CYP
Denmark,1.7,DNK
Dominican Republic,2.3,DOM
Ecuador,2.4,ECU
El Salvador,2,SLV
Estonia,1.7,EST
Ethiopia,4.2,ETH
France,1.9,FRA
Georgia,2.1,GEO
Germany,1.6,DEU
Ghana,3.9,GHA
Greece,1.4,GRC
Guatemala,2.9,GTM
Honduras,2.5,HND
Hungary,1.6,HUN
Iceland,1.7,ISL
India,2.2,IND
Indonesia,2.3,IDN
Iran,2.9,IRN
Iraq,3.7,IRQ
Ireland,1.8,IRL
Israel,2.4,ISR
Italy,1.3,ITA
Jamaica,2,JAM
Japan,1.4,JPN
Jordan,2.8,JOR
Kazakhstan,2.8,KAZ
Kenya,3.5,KEN
Latvia,1.6,LVA
Lebanon,2.1,LBN
Lithuania,1.6,LTU
Luxembourg,1.4,LUX
Malaysia,2,MYS
Malta,1.2,MLT
Mauritius,1.4,MUS
Mexico,2.1,MEX
Moldova,1.3,MDA
Morocco,3.1,MAR
Nepal,1.9,NPL
Netherlands,1.6,NLD
New Zealand,1.7,NZL
Nicaragua,2.4,NIC
Nigeria,5.4,NGA
Norway,1.6,NOR
Pakistan,3.5,PAK
Panama,2.5,PAN
Paraguay,2.4,PRY
Peru,2.3,PER
Philippines,2.6,PHL
Poland,1.5,POL
Portugal,1.4,PRT
Qatar,1.9,QAT
Romania,1.8,ROU
Russia,1.82,RUS
Saudi Arabia,2.3,SAU
Serbia,1.5,SRB
Singapore,1.1,SGP
Slovenia,1.6,SVN
South Africa,2.4,ZAF
Spain,1.3,ESP
Sri Lanka,2.2,LKA
Sweden,1.8,SWE
Switzerland,1.5,CHE
Syria,2.8,SYR
Tanzania,4.9,TZA
Thailand,1.5,THA
Trinidad and Tobago,1.7,TTO
Tunisia,2.2,TUN
Turkey,2.1,TUR
Uganda,5,UGA
Ukraine,1.3,UKR
United Kingdom,1.7,GBR
United States,1.7,USA
Uruguay,2,URY
Venezuela,2.3,VEN
Vietnam,2,VNM
Zimbabwe,3.6,ZWE
