Region,Outdoor Pollution (deaths per 100000),Indoor Pollution (deaths per 100000)
Afghanistan,51.54828729,134.9937531
Albania,22.6412763,18.28075417
Algeria,44.02829676,0.191766503
Australia,10.78735253,0.083362775
Austria,17.67028439,0.266582585
Azerbaijan,60.16291408,20.75141979
Bahrain,63.70682413,0.280331589
Bangladesh,50.02837001,61.98537817
Belarus,50.22097656,0.692619198
Belgium,19.41505013,0.104423222
Bolivia,34.79952956,19.63842884
Brazil,25.09640527,5.583721424
Bulgaria,41.65083484,10.24999951
Cambodia,24.16009335,84.71483473
Canada,10.8504515,0.024770498
Chile,21.62611695,2.937137106
China,60.49042418,15.8036408
Colombia,17.93487992,4.40157515
Costa Rica,17.79308548,3.640153354
Croatia,29.44042852,4.654715055
Cyprus,26.33915185,0.190199365
Denmark,19.62969615,0.103695525
Dominican Republic,25.92652041,11.25390844
Ecuador,24.15169956,3.113057544
El Salvador,30.1396649,16.14333569
Estonia,11.79320718,3.932634445
Ethiopia,19.00906666,70.59407937
France,11.90933633,0.088896866
Georgia,39.56618498,31.72455336
Germany,19.92135348,0.280507779
Ghana,37.51313381,68.40700025
Greece,25.92754233,0.286815452
Guatemala,24.53296276,41.7569318
Honduras,17.23928395,34.67178164
Hungary,31.86936381,8.064261557
Iceland,9.958477078,0.135838285
India,88.04372833,51.02743957
Indonesia,30.41267948,36.49701995
Iran,46.67569948,0.270711728
Iraq,42.85598741,0.206546238
Ireland,14.61183124,0.230138765
Israel,21.5433883,0.16660773
Italy,16.93136702,0.196540342
Jamaica,33.06322489,9.145154272
Japan,11.55598527,0.026306511
Jordan,39.99901502,0.01931844
Kazakhstan,39.56113354,13.20775629
Kenya,24.59372439,66.45898981
Latvia,30.27179153,4.088657103
Lebanon,50.58913126,0.010723395
Lithuania,32.37573251,0.955867699
Luxembourg,16.19318025,0.128038098
Malaysia,48.5666704,2.190019631
Malta,23.65924908,0.278692043
Mauritius,45.39617746,3.426270277
Mexico,34.57553151,10.83211431
Moldova,40.76299012,9.420438637
Morocco,65.5408849,2.325253116
Nepal,83.53341504,57.74157089
Netherlands,18.90894851,0.085337111
New Zealand,8.493524879,0.130938462
Nicaragua,11.95788422,21.76492797
Nigeria,37.36224678,44.65023673
Norway,10.87938415,0.183158862
Pakistan,71.08247626,55.96422822
Panama,15.38782061,6.050155506
Papua New Guinea,26.76929617,218.8779091
Peru,18.40222499,11.87558225
Philippines,37.15261802,70.18225729
Poland,31.34160861,3.316359351
Portugal,15.14810522,0.623960069
Qatar,62.60321125,0.003858714
Romania,31.18886386,9.549933083
Russia,42.82288759,0.163369309
Saudi Arabia,64.83948674,0.162205962
Serbia,40.37543313,22.92674816
Singapore,20.10759265,0.035673999
Slovenia,18.48196651,1.56563815
South Africa,47.56772688,10.9969022
Spain,14.43730097,0.439644465
Sri Lanka,13.43003712,25.16209966
Sweden,9.330760395,0.175397016
Switzerland,11.76897675,0.188247935
Syria,64.93617288,0.088204618
Tanzania,18.40744487,78.76730456
Thailand,26.32540792,6.704581833
Trinidad and Tobago,51.04765536,0.870471807
Tunisia,52.16698774,0.189651653
Turkey,47.65298771,0.400058689
Uganda,25.57543839,69.22226959
Ukraine,59.31122157,4.875243395
United Kingdom,17.78612684,0.248832546
United States,19.18614367,0.089135041
Uruguay,19.35162536,1.25798039
Venezuela,34.55398297,0.472980894
Vietnam,35.43464504,25.63626388
Zimbabwe,30.21867718,96.23599602
