Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
