Country,Crime Index,Safety Index
Afghanistan,76.23,23.77
Albania,39.52,60.48
Algeria,49.81,50.19
Australia,41.36,58.64
Austria,23.73,76.27
Azerbaijan,31.61,68.39
Bahrain,29.29,70.71
Bangladesh,63.94,36.06
Belarus,24.99,75.01
Belgium,43.98,56.02
Bolivia,52.93,47.07
Brazil,68.88,31.12
Bulgaria,38.5,61.5
Cambodia,50.66,49.34
Canada,39.67,60.33
Chile,45.23,54.77
China,31.83,68.17
Colombia,54.79,45.21
Costa Rica,56.33,43.67
Croatia,24.71,75.29
Cyprus,30.01,69.99
Denmark,25.1,74.9
Dominican Republic,61.16,38.84
Ecuador,50.9,49.1
El Salvador,67.96,32.04
Estonia,23.14,76.86
Ethiopia,49.21,50.79
France,46.79,53.21
Georgia,20.21,79.79
Germany,34.81,65.19
Ghana,48.97,51.03
Greece,40.32,59.68
Guatemala,57.83,42.17
Honduras,76.11,23.89
Hungary,35.08,64.92
Iceland,23.36,76.64
India,43.32,56.68
Indonesia,45.84,54.16
Iran,49.25,50.75
Iraq,47.78,52.22
Ireland,45.43,54.57
Israel,29.6,70.4
Italy,44.26,55.74
Jamaica,66.04,33.96
Japan,20.66,79.34
Jordan,40.83,59.17
Kazakhstan,62.02,37.98
Kenya,61.66,38.34
Latvia,36.95,63.05
Lebanon,43.36,56.64
Lithuania,33.06,66.94
Luxembourg,33.39,66.61
Malaysia,58.84,41.16
Malta,39.04,60.96
Mauritius,47.33,52.67
Mexico,53.97,46.03
Moldova,44.98,55.02
Morocco,48.69,51.31
Nepal,34.56,65.44
Netherlands,27.62,72.38
New Zealand,40.93,59.07
Nicaragua,44.44,55.56
Nigeria,63.77,36.23
Norway,35.43,64.57
Pakistan,44.08,55.92
Panama,47.19,52.81
Paraguay,49.6,50.4
Peru,68.15,31.85
Philippines,42.16,57.84
Poland,28.5,71.5
Portugal,29.63,70.37
Qatar,11.86,88.14
Romania,27.64,72.36
Russia,41.12,58.88
Saudi Arabia,26.18,73.82
Serbia,37.41,62.59
Singapore,30.57,69.43
Slovenia,21.07,78.93
South Africa,77.49,22.51
Spain,31.96,68.04
Sri Lanka,40.22,59.78
Sweden,47.07,52.93
Switzerland,21.6,78.4
Syria,66.46,33.54
Tanzania,58.95,41.05
Thailand,40.48,59.52
Trinidad And Tobago,73.19,26.81
Tunisia,41.88,58.12
Turkey,39.49,60.51
Uganda,59,41
Ukraine,48.85,51.15
United Kingdom,43.71,56.29
United States,47.2,52.8
Uruguay,53.81,46.19
Venezuela,84.49,15.51
Vietnam,45.35,54.65
Zimbabwe,57.47,42.53
